Participant,Task,Saccade Count,Total Saccade Duration [ms],Average Saccade Duration [ms],Average Saccade Distance [px]
100,rectangle_java.jpg,46,53269.213,1158.0263695652175,178.063544720791
100,mupliple_choice_rectangle.jpg,45,16970.361999999994,377.11915555555544,189.54408349658846
100,vehicle_java.jpg,313,130567.07899999994,417.147217252396,152.232501310932
100,mupliple_choice_vehicle.jpg,55,18458.737,335.6134,135.3899529457108
101,rectangle_java2.jpg,32,40999.41299999999,1281.2316562499998,206.21141660177494
101,mupliple_choice_rectangle.jpg,33,29098.102,881.7606666666667,138.10101725835227
101,vehicle_java2.jpg,251,208864.05000000022,832.1276892430287,122.54620337186753
101,mupliple_choice_vehicle.jpg,51,31301.820000000007,613.7611764705883,157.07200851635653
102,vehicle_java.jpg,1,26962.63,26962.63,305.9238614426799
102,mupliple_choice_vehicle.jpg,61,33898.271000000015,555.709360655738,111.3854156775367
102,rectangle_java.jpg,5,60337.649999999994,12067.529999999999,310.20879850260997
102,mupliple_choice_rectangle.jpg,0,0.0,0.0,0.0
103,vehicle_java.jpg,58,71183.17999999998,1227.2962068965514,159.59927870268297
103,mupliple_choice_vehicle.jpg,0,0.0,0.0,0.0
103,rectangle_java.jpg,10,41700.429000000004,4170.0429,331.1091520546503
103,mupliple_choice_rectangle.jpg,7,27197.488000000005,3885.3554285714295,361.85328809511486
104,rectangle_java.jpg,26,88524.41999999998,3404.785384615384,159.6486828199463
104,mupliple_choice_rectangle.jpg,25,32386.815,1295.4726,220.0357914014842
104,vehicle_java.jpg,12,116851.42599999999,9737.618833333332,406.86893331512033
104,mupliple_choice_vehicle.jpg,47,40761.18999999999,867.2593617021274,101.71335047583852
105,rectangle_java2.jpg,22,33823.71000000001,1537.441363636364,203.3798024333107
105,mupliple_choice_rectangle.jpg,55,30001.52599999999,545.4822909090907,175.75558428314935
105,vehicle_java2.jpg,36,36132.948999999986,1003.6930277777774,118.70818925851073
105,mupliple_choice_vehicle.jpg,61,28210.033999999996,462.4595737704917,152.06931398609052
106,vehicle_java2.jpg,37,74918.596,2024.826918918919,229.75279957327075
106,mupliple_choice_vehicle.jpg,18,20874.52300000001,1159.6957222222227,267.0241322293244
106,rectangle_java2.jpg,12,24798.24,2066.52,147.36223435549752
106,mupliple_choice_rectangle.jpg,29,39761.297,1371.0792068965516,182.77347922107813
107,rectangle_java.jpg,130,60198.87100000003,463.06823846153867,114.08961628962096
107,mupliple_choice_rectangle.jpg,44,17047.729999999996,387.448409090909,124.93748942841702
107,vehicle_java.jpg,23,25041.647000000004,1088.7672608695655,175.85109962296303
107,mupliple_choice_vehicle.jpg,31,13518.752999999999,436.08880645161287,158.0767617840881
108,vehicle_java2.jpg,16,32725.885000000002,2045.3678125000001,279.21315604984136
108,mupliple_choice_vehicle.jpg,5,6023.657000000001,1204.7314000000001,100.4417634464044
108,rectangle_java2.jpg,30,41321.047,1377.3682333333334,181.82334857814337
108,mupliple_choice_rectangle.jpg,8,5539.6370000000015,692.4546250000002,166.7103334596558
109,vehicle_python.jpg,127,33581.585999999996,264.42193700787396,82.74050344774952
109,mupliple_choice_vehicle.jpg,93,25138.175999999996,270.30296774193545,118.169703369894
109,rectangle_python.jpg,118,34549.64199999999,292.7935762711864,88.47291132581087
109,mupliple_choice_rectangle.jpg,101,21342.549,211.31236633663366,86.43916063732028
10,rectangle_java.jpg,53,31685.17,597.8333962264151,147.62698932269117
10,mupliple_choice_rectangle.jpg,23,16626.556,722.8937391304348,214.8644404210646
10,vehicle_java.jpg,69,36448.92200000001,528.2452463768118,103.37861181438352
10,mupliple_choice_vehicle.jpg,36,15606.639000000001,433.51775000000004,97.94361724987112
110,rectangle_java2.jpg,54,30793.757000000005,570.2547592592593,120.66974947731703
110,mupliple_choice_rectangle.jpg,40,26654.196999999996,666.3549249999999,126.66574314937752
110,vehicle_java2.jpg,33,25461.9,771.5727272727273,115.67774051001646
110,mupliple_choice_vehicle.jpg,18,15198.99,844.3883333333333,135.78980184449676
111,vehicle_java.jpg,20,38054.46500000001,1902.7232500000005,191.6606527781819
111,mupliple_choice_vehicle.jpg,15,20894.481,1392.9654,220.26672218776494
111,rectangle_java.jpg,11,44968.051999999996,4088.004727272727,194.09268382293646
111,mupliple_choice_rectangle.jpg,6,16201.605000000001,2700.2675000000004,237.05544211241747
112,rectangle_java2.jpg,159,45563.17,286.5608176100629,81.53101046153772
112,mupliple_choice_rectangle.jpg,56,23275.039,415.6256964285714,103.3239676413705
112,vehicle_java2.jpg,114,55077.424999999996,483.1353070175438,90.65912396235933
112,mupliple_choice_vehicle.jpg,64,25515.769999999986,398.6839062499998,80.5073688020049
113,rectangle_java.jpg,93,73402.90900000001,789.2785913978496,162.75650479629337
113,mupliple_choice_rectangle.jpg,293,143333.93400000004,489.1943139931742,102.52644953514424
113,vehicle_java.jpg,71,56313.46899999997,793.1474507042249,133.83117728597952
113,mupliple_choice_vehicle.jpg,17,11023.411999999998,648.4359999999999,155.6438375973489
114,rectangle_java2.jpg,11,18886.641000000003,1716.9673636363639,274.3217266291241
114,mupliple_choice_rectangle.jpg,27,31573.609,1169.392925925926,217.55341856174903
114,vehicle_java2.jpg,45,25042.310999999998,556.4957999999999,129.82207119945133
114,mupliple_choice_vehicle.jpg,14,9638.554,688.4681428571429,181.48802891516902
115,rectangle_java2.jpg,121,33356.226,275.67128925619835,75.12848382879417
115,mupliple_choice_rectangle.jpg,125,32937.609999999986,263.5008799999999,95.29051452198264
115,vehicle_java2.jpg,186,63953.73300000003,343.8372741935485,97.35676572652837
115,mupliple_choice_vehicle.jpg,123,37669.401,306.25529268292684,76.5197716276839
116,vehicle_java2.jpg,140,44705.06800000002,319.32191428571446,70.92278807359548
116,mupliple_choice_vehicle.jpg,38,15655.442999999996,411.98534210526304,97.74697175336672
116,rectangle_java2.jpg,90,28997.811999999994,322.19791111111107,63.31183997110918
116,mupliple_choice_rectangle.jpg,14,5656.563,404.0402142857143,169.91340587001852
117,vehicle_java2.jpg,228,97167.91699999997,426.1750745614034,81.98775552702178
117,mupliple_choice_vehicle.jpg,161,37797.21,234.76527950310557,60.91116446226224
117,rectangle_java2.jpg,149,87888.79400000002,589.8576778523492,99.22483649133727
117,mupliple_choice_rectangle.jpg,67,13436.047000000004,200.5380149253732,50.2064889387701
118,rectangle_java.jpg,131,61355.49199999999,468.362534351145,131.28290321163252
118,mupliple_choice_rectangle.jpg,19,11227.233999999999,590.9070526315788,81.7869895465091
118,vehicle_java.jpg,106,32981.66300000001,311.1477641509435,106.6160360872366
118,mupliple_choice_vehicle.jpg,55,21036.566000000006,382.4830181818183,94.08897593957718
119,rectangle_java.jpg,0,0.0,0.0,0.0
119,mupliple_choice_rectangle.jpg,1,7071.803,7071.803,345.8684379934081
119,vehicle_java.jpg,3,17570.622,5856.874,406.563672346327
119,mupliple_choice_vehicle.jpg,5,7911.530999999998,1582.3061999999995,180.65458631367432
11,vehicle_java.jpg,14,43076.395,3076.8853571428567,245.58049381709358
11,mupliple_choice_vehicle.jpg,0,0.0,0.0,0.0
11,rectangle_java.jpg,10,31365.436,3136.5436,177.15490080210031
11,mupliple_choice_rectangle.jpg,27,37912.75399999999,1404.1760740740738,188.69200717237362
120,rectangle_java.jpg,108,53095.54799999999,491.6254444444443,105.11047782890743
120,mupliple_choice_rectangle.jpg,9,16877.049999999996,1875.2277777777772,360.14291369985733
120,vehicle_java.jpg,132,55559.351999999984,420.9041818181817,99.80342222759064
120,mupliple_choice_vehicle.jpg,11,11845.312,1076.8465454545455,185.16263976970515
121,vehicle_java2.jpg,97,26118.209999999995,269.25989690721644,78.32347543180728
121,mupliple_choice_vehicle.jpg,24,7395.438999999997,308.1432916666665,162.63501115920812
121,rectangle_java2.jpg,93,41997.20900000002,451.5828924731185,109.81443971583546
121,mupliple_choice_rectangle.jpg,12,4391.620999999999,365.9684166666666,123.60883288265364
122,vehicle_java2.jpg,173,42954.85699999998,248.29397109826579,53.73157799080073
122,mupliple_choice_vehicle.jpg,187,44537.29299999998,238.1673422459892,59.22614932226368
122,rectangle_java2.jpg,112,21378.530000000006,190.8797321428572,35.0256119772189
122,mupliple_choice_rectangle.jpg,130,18862.902000000013,145.09924615384625,33.5744152106873
123,rectangle_java.jpg,34,38631.543,1136.2218529411764,130.71517181930324
123,mupliple_choice_rectangle.jpg,43,31146.01000000001,724.3258139534886,205.91102005524965
123,vehicle_java.jpg,34,29981.833000000006,881.818617647059,219.81310232992396
123,mupliple_choice_vehicle.jpg,30,24144.914000000004,804.8304666666668,142.23143593327185
124,vehicle_java2.jpg,63,83701.91500000001,1328.6018253968255,161.07669868515293
124,mupliple_choice_vehicle.jpg,5,6103.6939999999995,1220.7387999999999,182.3989572900004
124,rectangle_java2.jpg,46,99121.816,2154.822086956522,159.6230441566311
124,mupliple_choice_rectangle.jpg,11,14894.915,1354.0831818181819,243.40703605502858
125,rectangle_java.jpg,2,23629.951000000005,11814.975500000002,136.6635482770401
125,mupliple_choice_rectangle.jpg,5,18446.703999999998,3689.3407999999995,241.6835837092849
125,vehicle_java.jpg,6,68358.34700000001,11393.057833333334,177.08153565647396
125,mupliple_choice_vehicle.jpg,9,18130.463,2014.4958888888889,207.5636354265004
126,vehicle_java2.jpg,184,74193.30799999995,403.2244999999997,121.94815361801835
126,mupliple_choice_vehicle.jpg,32,16803.779000000006,525.1180937500002,172.43125632705917
126,rectangle_java2.jpg,146,60484.043,414.27426712328764,78.53589168022441
126,mupliple_choice_rectangle.jpg,35,15441.514,441.18611428571427,151.26369399089137
127,rectangle_java2.jpg,15,31381.894,2092.1262666666667,162.79325906703917
127,mupliple_choice_rectangle.jpg,10,17510.772,1751.0772000000002,96.1613725461003
127,vehicle_java2.jpg,19,38405.598000000005,2021.347263157895,166.2457655264
127,mupliple_choice_vehicle.jpg,14,17506.818999999996,1250.4870714285712,183.6217398861964
128,rectangle_java2.jpg,115,53176.33200000002,462.4028869565219,101.9371093979707
128,mupliple_choice_rectangle.jpg,141,49996.64899999999,354.58616312056733,111.86838659561612
128,vehicle_java2.jpg,360,128428.12799999998,356.74479999999994,86.86944082201313
128,mupliple_choice_vehicle.jpg,70,21154.679000000004,302.20970000000005,108.04840029051658
129,rectangle_java2.jpg,4,16481.369,4120.34225,172.07833075752887
129,mupliple_choice_rectangle.jpg,6,32778.638000000006,5463.106333333334,430.71556950367557
129,vehicle_java2.jpg,3,15418.936,5139.645333333333,155.3679243247816
129,mupliple_choice_vehicle.jpg,9,44452.243,4939.138111111111,264.67490464034853
12,vehicle_java2.jpg,305,91837.79899999994,301.10753770491783,64.58712307018092
12,mupliple_choice_vehicle.jpg,81,24826.368999999988,306.4983827160492,111.34065202169523
12,rectangle_java2.jpg,90,34401.749,382.2416555555556,87.18916477500673
12,mupliple_choice_rectangle.jpg,141,49656.562,352.1741985815603,105.18543758548249
130,vehicle_java.jpg,2,12350.859,6175.4295,475.0749768868521
130,mupliple_choice_vehicle.jpg,1,2458.403,2458.403,249.80734096499248
130,rectangle_java.jpg,0,0.0,0.0,0.0
130,mupliple_choice_rectangle.jpg,0,0.0,0.0,0.0
131,vehicle_java.jpg,180,79699.75499999995,442.77641666666636,115.67045021989814
131,mupliple_choice_vehicle.jpg,85,23451.094,275.8952235294118,104.69690905033862
131,rectangle_java.jpg,127,66354.49200000003,522.4763149606301,134.06439848845613
131,mupliple_choice_rectangle.jpg,50,24154.228000000006,483.0845600000001,186.18961549467386
132,rectangle_java2.jpg,95,105941.051,1115.1689578947369,172.9676184666691
132,mupliple_choice_rectangle.jpg,30,35212.937000000005,1173.764566666667,165.0147245652415
132,vehicle_java2.jpg,66,75306.77100000001,1141.0116818181818,136.1059795509496
132,mupliple_choice_vehicle.jpg,10,9687.442000000001,968.7442000000001,215.64482496326363
133,rectangle_java2.jpg,18,50472.568999999996,2804.031611111111,145.84449738886
133,mupliple_choice_rectangle.jpg,17,36241.543,2131.855470588235,232.66531281455295
133,vehicle_java2.jpg,20,66387.23999999999,3319.3619999999996,168.4126585512339
133,mupliple_choice_vehicle.jpg,10,58988.653,5898.8652999999995,179.33283956782643
134,rectangle_java2.jpg,33,19838.251999999997,601.1591515151514,106.11190613672359
134,mupliple_choice_rectangle.jpg,10,7151.539,715.1539,184.44243511039346
134,vehicle_java2.jpg,20,10875.135,543.75675,162.07863794611782
134,mupliple_choice_vehicle.jpg,16,11579.167999999998,723.6979999999999,255.77669691138757
135,rectangle_java2.jpg,29,56607.842,1951.9945517241379,172.44288129914554
135,mupliple_choice_rectangle.jpg,32,52032.25299999999,1626.0079062499997,180.33706856923862
135,vehicle_java2.jpg,84,126669.40199999999,1507.9690714285712,165.59808309078247
135,mupliple_choice_vehicle.jpg,15,68749.28799999999,4583.285866666666,310.5336153291949
136,vehicle_java2.jpg,31,55694.70999999998,1796.603548387096,117.3357280565153
136,mupliple_choice_vehicle.jpg,20,9919.465,495.97325,106.14366729568697
136,rectangle_java2.jpg,44,72110.89799999999,1638.8840454545452,122.1638818768898
136,mupliple_choice_rectangle.jpg,21,18595.343999999994,885.4925714285712,123.62611247185866
137,vehicle_java.jpg,29,37529.444,1294.1187586206897,147.06282510748963
137,mupliple_choice_vehicle.jpg,25,27757.95,1110.318,176.5692514012522
137,rectangle_java.jpg,19,17262.814000000002,908.5691578947369,72.52953349454103
137,mupliple_choice_rectangle.jpg,26,29650.180000000008,1140.3915384615389,168.20568619181626
138,rectangle_java2.jpg,132,32945.523,249.58729545454545,82.20226882247951
138,mupliple_choice_rectangle.jpg,122,32312.281999999992,264.8547704918032,84.55011779380654
138,vehicle_java2.jpg,129,37829.565999999984,293.252449612403,75.3943487766724
138,mupliple_choice_vehicle.jpg,85,19826.515000000003,233.25311764705887,80.60355260970653
139,rectangle_java2.jpg,109,23713.85900000002,217.55833944954145,65.4896636819795
139,mupliple_choice_rectangle.jpg,91,18126.485999999997,199.19215384615381,87.50855822587901
139,vehicle_java2.jpg,112,22974.474,205.12923214285712,65.66035167170493
139,mupliple_choice_vehicle.jpg,83,14423.060999999996,173.7718192771084,66.61912327645213
13,rectangle_java2.jpg,226,59626.94799999997,263.836053097345,73.58403167747537
13,mupliple_choice_rectangle.jpg,29,13902.792,479.40662068965514,135.81601706276868
13,vehicle_java2.jpg,523,131836.71999999997,252.07785850860415,65.41644343892261
13,mupliple_choice_vehicle.jpg,53,12374.957999999999,233.48977358490563,89.1537149263531
140,vehicle_java2.jpg,74,49872.58199999998,673.9538108108105,118.1911899715645
140,mupliple_choice_vehicle.jpg,31,23822.376,768.4637419354839,145.72061805481334
140,rectangle_java2.jpg,41,25454.275000000005,620.8359756097562,145.18748529633777
140,mupliple_choice_rectangle.jpg,51,37077.48500000001,727.0095098039217,107.98726492406219
141,vehicle_java2.jpg,184,55819.49199999997,303.3668043478259,86.52690012189122
141,mupliple_choice_vehicle.jpg,63,20882.304,331.46514285714284,102.50261637742298
141,rectangle_java2.jpg,230,60131.54299999999,261.4414913043478,72.03917469341174
141,mupliple_choice_rectangle.jpg,70,18246.622999999996,260.6660428571428,74.6208612223219
142,vehicle_java2.jpg,103,42325.14,410.92368932038835,108.4242127823526
142,mupliple_choice_vehicle.jpg,165,36729.66700000001,222.60404242424246,54.83139779144399
142,rectangle_java2.jpg,228,70983.07799999996,311.32928947368407,75.99200875498379
142,mupliple_choice_rectangle.jpg,135,27718.204,205.32002962962963,65.9086721728638
143,vehicle_java2.jpg,323,42109.37100000001,130.36956965944273,50.687558088663444
143,mupliple_choice_vehicle.jpg,549,78782.62200000003,143.50204371584707,58.932154328496914
143,rectangle_java2.jpg,173,25122.166999999994,145.21483815028898,54.95011880111394
143,mupliple_choice_rectangle.jpg,139,14006.922000000002,100.76922302158275,42.46634576338617
144,vehicle_java.jpg,71,44344.21699999999,624.5664366197182,117.02112133746667
144,mupliple_choice_vehicle.jpg,18,7731.526,429.5292222222222,128.1691520031143
144,rectangle_java.jpg,56,33129.007999999994,591.5894285714285,149.41289208649115
144,mupliple_choice_rectangle.jpg,20,15902.715,795.13575,124.960188117888
145,rectangle_java2.jpg,41,76284.98400000001,1860.6093658536588,139.11044635248973
145,mupliple_choice_rectangle.jpg,5,13706.836999999998,2741.3673999999996,253.60141778930665
145,vehicle_java2.jpg,28,79706.32900000001,2846.6546071428575,151.86712504090607
145,mupliple_choice_vehicle.jpg,13,24630.394,1894.6456923076923,247.8660177485523
146,rectangle_java.jpg,23,29117.444000000007,1265.9758260869569,207.59223444088093
146,mupliple_choice_rectangle.jpg,28,20982.003999999994,749.3572857142855,143.60901946049816
146,vehicle_java.jpg,58,47496.00299999999,818.8966034482756,142.46888709901899
146,mupliple_choice_vehicle.jpg,6,10967.065999999999,1827.8443333333332,203.4454607023279
147,rectangle_java2.jpg,49,66779.41,1362.8451020408163,117.83212084229453
147,mupliple_choice_rectangle.jpg,16,29113.962000000003,1819.6226250000002,206.00597092852132
147,vehicle_java2.jpg,34,58163.984999999986,1710.7054411764702,161.01775122855335
147,mupliple_choice_vehicle.jpg,26,36757.340000000004,1413.7438461538463,211.23504404907845
148,rectangle_java2.jpg,17,32297.146999999997,1899.8321764705881,185.86162596438547
148,mupliple_choice_rectangle.jpg,32,25705.932000000004,803.3103750000001,211.14583965485295
148,vehicle_java2.jpg,138,84085.12399999995,609.3124927536228,104.07376349335362
148,mupliple_choice_vehicle.jpg,127,58511.19600000002,460.71807874015764,110.71006793268879
149,vehicle_java2.jpg,118,29094.000000000022,246.5593220338985,78.6229957121104
149,mupliple_choice_vehicle.jpg,54,13837.384,256.24785185185186,69.6811399301983
149,rectangle_java2.jpg,58,18972.939000000006,327.11963793103456,96.92586183135585
149,mupliple_choice_rectangle.jpg,89,21238.584,238.63577528089886,67.02913283007886
14,rectangle_java2.jpg,91,33453.71200000001,367.62320879120887,93.4970670079245
14,mupliple_choice_rectangle.jpg,109,30641.887000000006,281.1182293577982,90.83119207835806
14,vehicle_java2.jpg,162,57215.94699999998,353.1848580246912,83.31681538956754
14,mupliple_choice_vehicle.jpg,57,14427.090000000006,253.10684210526327,87.87538392841088
150,rectangle_java.jpg,11,14526.768999999998,1320.6153636363636,245.5632745722922
150,mupliple_choice_rectangle.jpg,17,26953.464,1585.4978823529411,163.30043345156784
150,vehicle_java.jpg,20,39764.39800000001,1988.2199000000005,265.35971989380266
150,mupliple_choice_vehicle.jpg,9,19097.017999999996,2121.8908888888886,253.10988271505343
151,rectangle_java2.jpg,311,109542.73800000003,352.22745337620586,69.37281699463097
151,mupliple_choice_rectangle.jpg,138,57823.89099999999,419.01370289855066,71.44787379491694
151,vehicle_java2.jpg,462,174661.11400000003,378.0543593073594,86.79034225861929
151,mupliple_choice_vehicle.jpg,233,110160.28200000005,472.7909098712449,86.464216885001
152,vehicle_java2.jpg,151,52779.27800000003,349.53164238410614,78.46458699526967
152,mupliple_choice_vehicle.jpg,64,16790.822,262.35659375,66.86251405771404
152,rectangle_java2.jpg,76,27760.313000000002,365.2672763157895,71.6367159441714
152,mupliple_choice_rectangle.jpg,63,16950.82,269.0606349206349,67.78290423268008
153,rectangle_java2.jpg,19,29217.573999999997,1537.7670526315787,84.74619418678942
153,mupliple_choice_rectangle.jpg,13,12690.880000000001,976.2215384615386,84.04652978861898
153,vehicle_java2.jpg,45,60758.799,1350.1955333333333,157.08810496798773
153,mupliple_choice_vehicle.jpg,28,40968.61099999999,1463.164678571428,152.08590393837972
154,vehicle_java2.jpg,197,135845.66900000002,689.5719238578681,110.45942112761308
154,mupliple_choice_vehicle.jpg,66,39957.275,605.4132575757576,113.11296472850206
154,rectangle_java2.jpg,142,79058.17300000002,556.7476971830988,91.31705467853568
154,mupliple_choice_rectangle.jpg,36,33673.545999999995,935.3762777777777,156.443392869521
155,vehicle_java2.jpg,94,53924.37500000001,573.6635638297873,144.93385558914377
155,mupliple_choice_vehicle.jpg,43,18662.807,434.01876744186046,106.30182446177999
155,rectangle_java2.jpg,70,43584.823,622.6403285714285,123.31102871340102
155,mupliple_choice_rectangle.jpg,22,12818.945000000002,582.6793181818183,177.20603882665463
156,rectangle_java2.jpg,119,38974.94099999996,327.5205126050417,80.68006068265086
156,mupliple_choice_rectangle.jpg,80,41953.74600000001,524.4218250000001,105.90338165625253
156,vehicle_java2.jpg,174,71479.13600000003,410.7996321839082,99.05140585534022
156,mupliple_choice_vehicle.jpg,38,15913.820000000003,418.78473684210536,102.35207154511869
157,vehicle_java2.jpg,16,84574.709,5285.9193125,147.36339186007086
157,mupliple_choice_vehicle.jpg,33,47448.82700000001,1437.8432424242428,241.01495134306072
157,rectangle_java2.jpg,16,78430.635,4901.9146875,165.46284576742048
157,mupliple_choice_rectangle.jpg,26,20334.601999999995,782.1000769230767,91.09544822734324
158,rectangle_java2.jpg,247,51000.53500000007,206.47989878542538,58.78027939422731
158,mupliple_choice_rectangle.jpg,144,33047.573999999986,229.49704166666658,60.501527854445094
158,vehicle_java2.jpg,299,70174.46999999996,234.6972240802674,58.4577527346231
158,mupliple_choice_vehicle.jpg,220,87069.066,395.76848181818184,110.95460193942732
159,vehicle_java2.jpg,94,37373.316999999995,397.5884787234042,73.32336767894331
159,mupliple_choice_vehicle.jpg,11,21046.480000000003,1913.316363636364,207.97255045247292
159,rectangle_java2.jpg,21,24270.48,1155.7371428571428,121.593454795939
159,mupliple_choice_rectangle.jpg,16,13966.903999999999,872.9314999999999,178.65439455956857
15,rectangle_java.jpg,101,43496.24700000002,430.65591089108926,141.64138521378524
15,mupliple_choice_rectangle.jpg,26,12850.693999999998,494.2574615384614,144.75693676453358
15,vehicle_java.jpg,143,68182.216,476.7987132867133,171.00257984180217
15,mupliple_choice_vehicle.jpg,39,13770.967000000002,353.10171794871803,124.99255132958609
160,vehicle_java.jpg,107,90760.31000000003,848.2271962616825,125.35079101283652
160,mupliple_choice_vehicle.jpg,41,28445.63800000001,693.796048780488,167.20576039056309
160,rectangle_java.jpg,141,127986.414,907.7050638297873,131.11025273625378
160,mupliple_choice_rectangle.jpg,22,14242.819000000001,647.4008636363637,184.04968096524524
161,vehicle_python.jpg,133,44159.99200000003,332.0300150375942,106.13821754410785
161,mupliple_choice_vehicle.jpg,72,24130.52,335.1461111111111,89.94705312382825
161,rectangle_python.jpg,45,14871.040999999997,330.4675777777777,79.92933007831193
161,mupliple_choice_rectangle.jpg,28,8907.412000000002,318.1218571428572,147.18988684470312
162,rectangle_java.jpg,131,64423.45899999998,491.78212977099224,119.37703942129913
162,mupliple_choice_rectangle.jpg,21,13295.179999999995,633.1038095238093,184.98457712411042
162,vehicle_java.jpg,397,76110.47600000004,191.7140453400505,79.4847838082173
162,mupliple_choice_vehicle.jpg,246,59075.68799999999,240.14507317073165,89.47558348583325
163,vehicle_java.jpg,158,68062.04799999995,430.7724556962022,111.51275683348574
163,mupliple_choice_vehicle.jpg,57,27017.789000000004,473.9962982456141,102.5972337140838
163,rectangle_java.jpg,59,43662.902,740.049186440678,153.58449918625556
163,mupliple_choice_rectangle.jpg,36,14022.937999999998,389.5260555555555,202.82364108040628
164,vehicle_java2.jpg,115,76602.487,666.1085826086955,129.21885162428447
164,mupliple_choice_vehicle.jpg,16,17294.485,1080.9053125,171.85597894523028
164,rectangle_java2.jpg,103,75449.227,732.5167669902912,104.1718977860883
